"TimeCreated","Id","LevelDisplayName","ProviderName","MachineName","Message"
"9/9/2026 4:09:10 PM","1025","Information","Microsoft-Windows-TPM-WMI","CRASHLAB-01","The TPM was successfully provisioned and is now ready for use."
"9/9/2026 4:09:10 PM","1282","Information","Microsoft-Windows-TPM-WMI","CRASHLAB-01","The TBS device identifier has been generated."
"9/9/2026 4:09:10 PM","18","Information","TPM","CRASHLAB-01","This event triggers the Trusted Platform Module (TPM) provisioning/status check to run."
"9/9/2026 4:09:08 PM","1040","Error","Microsoft-Windows-TPM-WMI","CRASHLAB-01","Pre-attestation health checks confirm a critical component has failed, and the device is not expected to pass attestation. Please see C:\WINDOWS\Logs\MeasuredBoot\0000000015-0000000000.json for detailed information on what checks were made."
"9/9/2026 4:09:08 PM","1041","Information","Microsoft-Windows-TPM-WMI","CRASHLAB-01","Pre-attestation health check detailed information: {""Version"":1,""HealthStatus"":""Cannot be attested"",""Required"":[{""Field"":""TpmPresent"",""Value"":true,""DesiredValue"":true},{""Field"":""TpmMeetsMinimumVersion"",""Value"":true,""DesiredValue"":true},{""Field"":""TpmIsResponsive"",""Value"":true,""DesiredValue"":true},{""Field"":""EkCertIsAvailable"",""Value"":false,""DesiredValue"":true},{""Field"":""TcgLogFound"",""Value"":true,""DesiredValue"":true}],""Expected"":[{""Field"":""PcrsMatchTcgLog"",""Value"":true,""DesiredValue"":true}],""Informational"":[{""Field"":""SecureBootEnabled"",""ValueFromComputer"":false,""ValueFromTcgLog"":false,""DesiredValue"":true,""TcgValueIsVerifiable"":true},{""Field"":""VirtualSecureMemory"",""ValueFromComputer"":false,""ValueFromTcgLog"":false,""DesiredValue"":true,""TcgValueIsVerifiable"":true},{""Field"":""SecureCorePCCompliant"",""ValueFromComputer"":false,""ValueFromTcgLog"":false,""DesiredValue"":true,""TcgValueIsVerifiable"":true}{""Field"":""BootTcgLogFoundInFileSystem"",""Value"":true,""DesiredValue"":true},{""Field"":""CurrentTcgLogFoundInFileSystem"",""Value"":true,""DesiredValue"":true}]}"
"9/9/2026 4:09:06 PM","7026","Information","Service Control Manager","CRASHLAB-01","The following boot-start or system-start driver(s) did not load: dam uiomap"
"9/9/2026 4:09:03 PM","112","Information","Microsoft-Windows-HttpService","CRASHLAB-01","Attempted to reserve URL http://+:10246/MDEServer/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"9/9/2026 4:09:03 PM","112","Information","Microsoft-Windows-HttpService","CRASHLAB-01","Attempted to reserve URL http://+:10247/apps/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"9/9/2026 4:09:03 PM","112","Information","Microsoft-Windows-HttpService","CRASHLAB-01","Attempted to reserve URL http://+:10243/WMPNSSv4/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"9/9/2026 4:09:03 PM","112","Information","Microsoft-Windows-HttpService","CRASHLAB-01","Attempted to reserve URL https://+:10245/WMPNSSv4/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"9/9/2026 4:09:03 PM","112","Information","Microsoft-Windows-HttpService","CRASHLAB-01","Attempted to reserve URL http://+:80/116B50EB-ECE2-41ac-8429-9F9E963361B7/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"9/9/2026 4:09:03 PM","112","Information","Microsoft-Windows-HttpService","CRASHLAB-01","Attempted to reserve URL https://+:443/C574AC30-5794-4AEE-B1BB-6651C5315029/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"9/9/2026 4:09:03 PM","112","Information","Microsoft-Windows-HttpService","CRASHLAB-01","Attempted to reserve URL http://+:80/0131501b-d67f-491b-9a40-c4bf27bcb4d4/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"9/9/2026 4:09:03 PM","112","Information","Microsoft-Windows-HttpService","CRASHLAB-01","Attempted to reserve URL https://+:443/sra_{BA195980-CD49-458b-9E23-C84EE0ADCD75}/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"9/9/2026 4:09:03 PM","112","Information","Microsoft-Windows-HttpService","CRASHLAB-01","Attempted to reserve URL https://+:3392/rdp/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"9/9/2026 4:09:03 PM","112","Information","Microsoft-Windows-HttpService","CRASHLAB-01","Attempted to reserve URL http://+:5985/wsman/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"9/9/2026 4:09:03 PM","112","Information","Microsoft-Windows-HttpService","CRASHLAB-01","Attempted to reserve URL http://+:47001/wsman/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"9/9/2026 4:09:03 PM","112","Information","Microsoft-Windows-HttpService","CRASHLAB-01","Attempted to reserve URL https://+:5986/wsman/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"9/9/2026 4:09:03 PM","112","Information","Microsoft-Windows-HttpService","CRASHLAB-01","Attempted to reserve URL http://*:2869/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"9/9/2026 4:09:03 PM","112","Information","Microsoft-Windows-HttpService","CRASHLAB-01","Attempted to reserve URL https://*:5358/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"9/9/2026 4:09:03 PM","112","Information","Microsoft-Windows-HttpService","CRASHLAB-01","Attempted to reserve URL http://+:80/Temporary_Listen_Addresses/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
